id,ship_mode,segment,city,state,region,category,sub-category,product_name,sales,quantity,discount,profit,order_year,order_month,order_day,order_day_of_week,is_weekend,shipping_duration,unit_price,price_cluster
0,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,8,1,0,3,130.98,0
27,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2015,9,17,3,0,4,440.48999999999995,1
38,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2015,12,27,6,1,4,177.4664,0
189,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392,2015,10,12,0,0,2,224.784,0
192,First Class,Home Office,New York City,New York,East,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764,2015,10,12,0,0,2,208.784,0
213,Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323,2015,1,2,4,0,7,90.49,0
292,Second Class,Home Office,Columbus,Ohio,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3,0.5,-48.7032,2016,11,20,6,1,4,28.99,0
354,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,Sauder Barrister Bookcases,388.704,6,0.2,-4.8588,2016,4,8,4,0,5,64.784,0
369,Same Day,Corporate,Manchester,Connecticut,East,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,4,0.0,271.4192,2016,10,21,4,0,0,260.98,0
399,Second Class,Consumer,Houston,Texas,Central,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.32,-317.1528,2016,9,8,3,0,2,599.0664,1
412,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,13,0.15,31.4548,2017,12,8,4,0,4,102.833,0
468,Standard Class,Corporate,Amarillo,Texas,Central,Furniture,Bookcases,Bush Mission Pointe Library,205.3328,2,0.32,-36.2352,2017,3,31,4,0,4,102.6664,0
472,Second Class,Consumer,San Francisco,California,West,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.666,2,0.15,10.4784,2014,11,9,6,1,2,111.333,0
485,First Class,Home Office,Los Angeles,California,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.165,5,0.15,-30.245,2017,6,10,5,1,3,102.833,0
688,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",191.984,2,0.2,4.7996,2017,12,25,0,0,4,95.992,0
708,First Class,Consumer,New York City,New York,East,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92,5,0.2,-110.49,2014,12,2,1,0,2,176.784,0
736,Standard Class,Home Office,Seattle,Washington,West,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,84.98,1,0.0,18.6956,2017,1,21,5,1,4,84.98,0
783,Second Class,Consumer,Columbus,Ohio,East,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",35.49,1,0.5,-15.6156,2015,10,3,5,1,3,35.49,0
841,Standard Class,Corporate,New York City,New York,East,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,186.048,4,0.2,9.3024,2015,11,20,4,0,5,46.512,0
